"HSE Dublin and Midlands","HSE Dublin and North East","HSE Dublin and South East","HSE Mid West","HSE South West","HSE West and North West","time"
3.61522343944327,2.28438659959956,2.87864925169693,6.47675139987408,4.20688168111165,5.21997050135981,1
2.08860239083062,1.36218961280878,1.5759628890673,3.38590963190032,2.36567892809933,2.91928907575054,2
5.51966930233368,3.77808715609167,4.61139866743552,6.8357493511894,5.86429634473175,8.20388055895683,3
4.81761459793834,2.87452508643096,3.80550950504032,5.03022536437489,4.65850372376468,5.73725996421699,4
4.70869155515191,2.38379385442931,3.28925269028293,5.5561555620355,4.67146815450917,6.83711794201077,5
4.1237959114663,2.1413937628866,3.35348826915134,5.19196660532407,5.15585947415113,6.04638802477834,6
4.28567210764613,1.95775651895308,3.05574382955666,6.06072384637286,4.71895262464027,5.82784360717335,7
4.71649784739457,1.96289072443353,3.64823632371112,6.74844304654886,3.91731131168428,5.62292811284254,8
4.92448026304278,2.92248450655945,3.5438639208786,7.27151200958087,5.07396705283992,6.81250527445773,9
5.2124857328515,2.89073839316645,3.20839342051998,7.60959040897414,5.01928714393178,6.92500159062276,10
4.87462561471695,2.32085481688155,3.5425534799601,7.50336442202685,4.51036509049547,6.05677931915138,11
5.94599534462175,2.06955590529598,3.56669201496583,7.45237630546236,5.78888570392566,6.74890072838067,12
5.28818919512508,2.08186697627513,3.31009256827448,7.43599256988015,5.07885611278942,7.33079476478618,13
5.57266849061468,2.38542161975177,3.65504629715585,8.22500057923734,5.14725499105033,7.79158883250894,14
5.3567979795201,2.43909638987229,3.18617931768478,8.0249295307713,5.46903257149693,7.39425258776213,15
4.17150673579747,2.03712936528404,2.15602626508521,7.87547546857728,4.77791557268955,7.63931998742906,16
4.50299925750462,1.52466879398304,2.80652778308158,7.29232057347347,4.93384339016795,7.20881927294938,17
4.74081926226453,1.79969724246383,3.36292499957726,7.93074840112501,5.09535158430368,6.98589828038622,18
4.71190933142559,1.71282555027821,3.56629146321931,8.09560555407783,4.74486379510938,6.55706048048745,19
5.19150993886609,2.15479839256766,3.83330835222504,8.36186034149518,4.64325913700298,7.36451787409371,20
5.49563795197907,2.13559150755954,3.3413194356816,7.57735640500327,4.84841426324795,7.38053089003425,21
4.07053917788739,1.91542666945443,2.52895213780828,7.45356444599974,4.67225866557705,6.75238053427204,22
3.92395223701636,2.11848277589688,2.75418579417261,8.25319393229336,4.17918860656177,6.39585137239968,23
3.63568419202469,1.53125479133356,1.95942755284827,7.65978816385861,3.25713113715488,5.6471916330638,24
3.05992443559302,0.839381640884742,2.05353639777367,7.7440463367294,2.61395157138717,6.16816697072516,25
3.71345415453664,0.78768400531101,2.36813207046423,7.48180341065343,3.40845621341019,6.33194604134104,26
3.75264787719212,1.04192370521078,2.04054521438703,7.79040191054506,3.34127414917012,6.76093945521087,27
4.02521976315926,0.748715393107714,1.94480303804324,8.53617908262994,2.73119659115223,5.58792058611273,28
3.96451835012391,0.657946760876925,2.36183898939617,8.13634106539683,2.40087310147739,4.71379852550932,29
3.69496563263513,0.972381000832393,2.14813088480918,7.90980796345248,3.21230665486321,5.58878479680365,30
2.44463003019857,1.05473478070329,2.11599632378207,7.83165851039686,3.38284480667668,5.57363841342359,31
2.57780909775129,0.966122484481942,2.59571880123017,8.18191359950639,3.78124405989784,5.73642131984487,32
2.58415724327177,0.938357933344338,2.54223155461693,7.45726712517463,3.71995769041664,6.14013660644304,33
2.6211516652158,1.69006543269315,2.34791893832,7.32368780593073,2.69418911888963,6.61910038818198,34
3.38742416892284,1.71421468398777,2.34981977201357,6.90275811966233,3.47827309103511,5.969820219981,35
3.06096658566336,1.56993454789995,2.43444949843999,7.13045505140878,4.61829853812171,5.76211768688012,36
3.21240937975446,1.35407827019209,2.18394196841788,7.6421383022766,5.23386692121957,5.99534379605428,37
3.69698418238902,1.53829867868417,2.25495063838335,8.32169948446227,4.7495942942291,6.62688873360555,38
3.65944532979899,1.45907608077348,2.37362259430599,7.9374277438538,4.02355594635111,5.68981132002276,39
3.60607860134701,1.75630669163253,3.03890330651551,8.00940966381143,4.48172922728946,5.22071989154768,40
4.28459215419361,2.05156092374577,2.66535283229478,8.44189162135927,5.22935878682213,5.26329296584533,41
4.25563863832109,2.07247092503001,2.67517710753541,8.40047122672412,4.68029861470114,5.63026559881416,42
4.39884461034965,2.24414061307146,2.8639835613243,7.64342817175583,4.68289875742616,5.5661954658859,43
3.78146507975197,2.03229695565242,2.7733035455671,8.02542996247237,4.38483145450887,5.22134418592595,44
4.13899680624338,2.23808071731977,3.01939427894368,7.22912723884107,4.68556032506853,5.33262164267981,45
4.69556747455283,2.49302583620694,2.91425811595836,6.61570359093604,5.08027988202579,5.46813252475523,46
5.10345700547283,2.55779338799819,3.39717546255588,7.36443198005397,5.06052036907658,5.94112602735967,47
4.73386648121746,2.64808828463079,3.31948015586321,8.17166344902671,5.29116520566985,6.30765318562856,48
4.03289821954408,2.54377966973778,3.18151923787559,7.73423629111942,4.65322903260161,5.05375473476046,49
3.99788816046778,2.32436065585965,3.52983578118202,7.41842176231607,5.23358826005656,5.12976327121351,50
5.25863733362295,2.75870463587664,3.23569944537504,8.15946764155968,4.61470655646127,6.79007501486977,51
5.30913283745748,2.56807121728467,3.45791499019516,8.50864752757265,5.5598746252941,7.32437140031862,52
3.04935641648142,1.53880249608632,2.73590105710911,6.0923908383722,3.66396310971048,5.10303780501922,53
2.20080847139727,1.07276910680228,1.72516798720796,4.36374840533986,2.90846317828586,3.38640624321348,54
3.98769304707762,2.19577504160972,2.16068148113915,6.91978622253327,5.71006655044061,6.57933676436956,55
3.93773027548832,2.76179244204765,2.76836521127878,7.31560509981724,5.49597860834458,5.9165542115427,56
4.23105018386423,2.7706728599663,3.00283726823117,7.90116999197124,6.03655206528746,5.42944991699448,57
4.64113467582299,2.66794745752345,2.89248220006115,8.78647254891309,5.99021109582326,6.22383410794762,58
3.97362833281132,2.54138935845246,3.09640544756014,9.16878448911222,4.46683618335703,5.86569985953478,59
4.41466530333891,2.88554096238096,3.63139553020069,9.91086246026741,4.17292729180432,6.20670295430537,60
3.90579788130965,2.41225587781858,3.52133869516964,8.84592807357576,3.93841493184082,6.76937494200718,61
4.33343303645339,2.79356945559129,2.7586779171043,8.47905083778462,3.62619683888704,5.95203743576269,62
4.57609744920034,2.27316326726562,2.82510434176105,8.96540931072515,4.32044546788757,5.16089534881116,63
4.39924529131317,2.20960951622635,2.88266552637514,8.68787014426835,3.67773443215017,4.76310306986414,64
4.44382673507184,2.59286579616635,3.11763339624101,8.3110403368989,4.25507924264223,4.81368836697216,65
3.92498074798376,2.36667064243652,2.6451973527444,9.02852418279276,4.43511925658917,5.59261876594328,66
4.16831377264784,2.07676844620363,2.89095216138924,9.10002649174719,3.58885627156643,5.17584014962685,67
4.28494098461971,1.99909500928784,3.22440230307764,8.28492847346808,4.4814841854853,6.25426504143915,68
4.42102075136123,2.35289992459834,2.90313745192119,8.14433494286254,4.49291550168268,7.22988675278588,69
4.08860137268265,2.37174734444593,3.04554733756874,8.83482614864765,3.26982007327121,5.85034800194292,70
3.4082671888087,2.30830817277792,2.81136306594751,9.02096738490019,3.51747801646362,4.66214766400832,71
3.42412383591568,1.88854722243311,2.51947570032868,7.8047927757224,4.20215189369582,4.60859273602616,72
