"HSE Dublin and Midlands","HSE Dublin and North East","HSE Dublin and South East","HSE Mid West","HSE South West","HSE West and North West","time"
4.24492220564675,2.69681851680707,3.34936044475857,7.50458790338785,4.97021616718911,6.1133857479119,1
2.44856860083269,1.59060891997393,1.8533932346845,4.01604106691922,2.7988996234871,3.43795800177364,2
5.82069854768559,3.990753759887,4.8580626730249,7.28675256844319,6.2074264815652,8.65019847433248,3
5.09404230261534,3.05322381000442,4.01521547679344,5.55751305030248,4.98752726501658,6.1249054954992,4
4.98265515809628,2.56597323158993,3.49289672349157,6.05797789870693,4.99850846926295,7.22743951281427,5
4.39752295953207,2.33045494236349,3.55713864640297,5.71611025827951,5.48255933658104,6.42994815669922,6
4.55741383920666,2.15290386528562,3.26004438875766,6.54275604284471,5.04522906896253,6.21520014245416,7
4.98815474774257,2.15644976379703,3.85625553800446,7.20547596894766,4.25530239306594,6.01396712316144,8
5.20002123493633,3.10268735034463,3.75050476396754,7.71731305040245,5.40224090350985,7.20057255021052,9
5.49517648824899,3.07190812368834,3.411316825876,8.05055869423748,5.34840555048053,7.31402341058719,10
5.14963252477867,2.49949189857127,3.75237244430446,7.94649189648045,4.83707235729638,6.44285231462385,11
6.26811532026136,2.25119527477981,3.7797064397241,7.89391021212623,6.15026074934765,7.13644129287258,12
5.579447472961,2.26119173694623,3.51680221387343,7.87880070388019,5.41520683625482,7.73197936109154,13
5.88133097879002,2.56299025978512,3.87740826405484,8.66186313582689,5.49005348682434,8.21462337659949,14
5.65824911727451,2.61790999448587,3.39358354522891,8.46240738165986,5.82962003333023,7.80101452458555,15
4.44180916379664,2.21358591871813,2.3663269091324,8.31305716252798,5.11559231246412,8.05780000983873,16
4.77984347894403,1.70987092501504,3.01009205473667,7.73794092464714,5.28139986843867,7.61049286577697,17
5.02675986903028,1.97735215812019,3.58524046113447,8.36779615768419,5.45592963475559,7.38288277279572,18
5.00081093096509,1.89096925749288,3.80311066684379,8.53090987884071,5.09398424078119,6.94644405555391,19
5.51004122498981,2.33547920152808,4.09184746410021,8.79808718634617,4.99197016837477,7.7792629800469,20
5.84140585548392,2.31820393307805,3.57310649920315,8.01419409209678,5.21101881211785,7.79753919479836,21
4.34940988778208,2.09489981401627,2.7327922222626,7.89178161989202,5.0315003597525,7.14923444804392,22
4.20193402132354,2.30434314336948,2.96436781669259,8.6892708944054,4.52204037680645,6.78782707947088,23
3.90975567243764,1.70785821365132,2.16385947783083,8.09652047656411,3.58445627242089,6.03365528282716,24
3.33283869575132,1.02926854825677,2.25649196865201,8.17962259995479,2.94670882898827,6.55704901127225,25
3.99288117742786,0.978166640031815,2.57185570657877,7.91965539492845,3.73842781579386,6.72508333704456,26
4.03593385860633,1.22371530550263,2.24294830987312,8.22761133338641,3.67067815666961,7.16614011832133,27
4.3220394488742,0.938480992568682,2.1485313150279,8.98163880472582,3.06191607945683,5.97388487181263,28
4.2630110782644,0.850821955133466,2.56611255949693,8.578545328885,2.73837685541751,5.11427233285023,29
3.98427643620428,1.15466458899962,2.35106807506264,8.35073747404764,3.54138585115009,5.97684666132833,30
2.72041386982998,1.23522032280655,2.3184272581792,8.27158143510374,3.71232037962345,5.96062216224531,31
2.85233877730433,1.14916594420375,2.80336407659702,8.62703968228796,4.11510870931406,6.12258550089127,32
2.85914483228348,1.12336959897785,2.7478277740204,7.8955281450203,4.0521707119533,6.52946989251071,33
2.89723905246122,1.86700725218731,2.5504938158443,7.76284188243225,3.03051988284922,7.01890747786499,34
3.66992633556611,1.89021667894842,2.55218967047148,7.346139048275,3.80885621035582,6.35698215826132,35
3.33830612779794,1.74602254222704,2.63702113889474,7.57010828146845,4.96934560409683,6.14746310919747,36
3.49110676057488,1.5334231370551,2.38845878216384,8.08189328192925,5.60953577462413,6.38310618769171,37
3.9875005195503,1.7155136233523,2.45939887729785,8.7732334838527,5.09980853541834,7.02708199039537,38
3.94686927774055,1.63931102369164,2.57778238174609,8.38062478939497,4.35679712016335,6.07683061010064,39
3.88982189468421,1.93336773830103,3.24616386794996,8.45377058312619,4.82011784555637,5.60896631592918,40
4.59215744332922,2.22839473035561,2.86864508721743,8.89785725891547,5.58720533976218,5.65308213453086,41
4.55837038690403,2.24966901062088,2.87847584464087,8.85693898345226,5.02024310939351,6.01704494541028,42
4.70479903809408,2.42235331685271,3.06715005431457,8.08658515241068,5.02119164174539,5.95445170336312,43
4.06197742820519,2.21162020159978,2.97759127182892,8.47602542613304,4.71780489808532,5.61304252488948,44
4.42652951478579,2.41622834775254,3.22218737460736,7.67415318740728,5.01911171448648,5.7243273727285,45
5.00082929601039,2.67161185722802,3.11843710074604,7.06721071098203,5.41673885256246,5.85958019577564,46
5.42481015066604,2.73617722388823,3.60249309250652,7.81033198496104,5.39476558593243,6.32903478512836,47
5.03104704509744,2.8270690679615,3.52365558132764,8.62586540176219,5.62734279367436,6.69652482648949,48
4.30857328383178,2.7216639546707,3.3845732485952,8.18173190292541,4.98466980272877,5.45433243005332,49
4.27256704261812,2.50475919517374,3.73417693668139,7.86391166806162,5.56600226387153,5.52863704521847,50
5.56315527079077,2.93744034987534,3.43921543589681,8.60983655683527,4.94549922265933,7.18525221390572,51
5.61157476139262,2.74736275722838,3.66146878158708,8.96493800915915,5.89713934108451,7.7340343729532,52
3.34936913763623,1.7546305400367,2.94982698419527,6.5640286301552,4.02445451786495,5.50463130996108,53
2.55275418499128,1.3210553601759,1.99213312723083,4.9266117196243,3.30674771066302,3.87395978120011,54
4.2631240645147,2.38289042074084,2.40121040918367,7.36829620898394,6.04825021543544,6.96531024197257,55
4.21367411647527,2.93972757429999,2.98044711155208,7.75919134490282,5.82888752884534,6.30226215153709,56
4.50340147096677,2.9490230270924,3.20963610954281,8.34119983384802,6.3856159312509,5.82336598584767,57
4.91324160111708,2.84591701285447,3.1004531667713,9.23607740828868,6.33907924480311,6.60730481273711,58
4.25006636593882,2.7203850438078,3.30051019075034,9.62782377663653,4.7950949364729,6.25214944579538,59
4.68601655368266,3.0644196494325,3.83891305143617,10.3992685567938,4.50543652555558,6.59037625528457,60
4.1842117893901,2.59195428967467,3.72738144854315,9.29382343419034,4.27284739620818,7.15623338620105,61
4.60438974369307,2.97259891744696,2.96619300395653,8.92035752667218,3.96887791068923,6.33856180237882,62
