Region,2023-01-01,2023-01-08,2023-01-15,2023-01-22,2023-01-29,2023-02-05,2023-02-12,2023-02-19,2023-02-26,2023-03-05,2023-03-12,2023-03-19,2023-03-26,2023-04-02,2023-04-09,2023-04-16,2023-04-23,2023-04-30,2023-05-07,2023-05-14,2023-05-21,2023-05-28,2023-06-04,2023-06-11,2023-06-18,2023-06-25,2023-07-02,2023-07-09,2023-07-16,2023-07-23,2023-07-30,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08,2023-10-15,2023-10-22,2023-10-29,2023-11-05,2023-11-12,2023-11-19,2023-11-26,2023-12-03,2023-12-10,2023-12-17,2023-12-24,2023-12-31,2024-01-07,2024-01-14,2024-01-21,2024-01-28,2024-02-04,2024-02-11,2024-02-18,2024-02-25,2024-03-03,2024-03-10,2024-03-17,2024-03-24,2024-03-31,2024-04-07,2024-04-14,2024-04-21,2024-04-28,2024-05-05,2024-05-12,2024-05-19,2024-05-26,2024-06-02,2024-06-09,2024-06-16,2024-06-23,2024-06-30,2024-07-07,2024-07-14,2024-07-21,2024-07-28,2024-08-04,2024-08-11,2024-08-18,2024-08-25,2024-09-01,2024-09-08,2024-09-15,2024-09-22,2024-09-29,2024-10-06,2024-10-13,2024-10-20,2024-10-27,2024-11-03,2024-11-10,2024-11-17,2024-11-24,2024-12-01,2024-12-08,2024-12-15,2024-12-22,2024-12-29,2025-01-05,2025-01-12,2025-01-19,2025-01-26,2025-02-02,2025-02-09,2025-02-16,2025-02-23,2025-03-02,2025-03-09,2025-03-16,2025-03-23,2025-03-30,2025-04-06,2025-04-13,2025-04-20,2025-04-27,2025-05-04,2025-05-11,2025-05-18,2025-05-25,2025-06-01,2025-06-08,2025-06-15,2025-06-22,2025-06-29,2025-07-06,2025-07-13,2025-07-20,2025-07-27,2025-08-03,2025-08-10,2025-08-17,2025-08-24,2025-08-31,2025-09-07,2025-09-14,2025-09-21,2025-09-28,2025-10-05,2025-10-12,2025-10-19,2025-10-26,2025-11-02,2025-11-09,2025-11-16
HSE Dublin and Midlands,0.9001159015217526,6.857584033243043,5.5213294990251836,5.2893408646123605,4.2221931463133755,4.49129996223225,5.252222683106309,5.632684043543338,6.170897675381087,5.577006771284261,7.599947663364077,6.412165855170423,6.996777213890737,6.653434034959759,4.546977234491328,5.2151045016002575,5.725479497308467,5.753318133438007,6.7369499433483755,7.405077210457305,4.825363595786715,4.639772688256457,4.194354510183837,3.2385613364030066,4.482020416855737,4.621213597503431,5.187265865470719,5.131588593211641,4.6768908697625085,2.4590795247759223,2.7189067953182837,2.7467454314478226,2.820981794459926,4.194354510183837,3.5911840607104977,3.8417317858763464,4.695449960515534,4.584095415997379,4.435622689973172,5.632684043543338,5.5120499536486705,5.706920406555442,4.49129996223225,5.066631775576051,6.013145403980368,6.690552216465811,5.911070404838726,4.546977234491328,4.407784053843634,6.634874944206733,6.653434034959759,2.561154523917564,1.0857068090520108,4.082999965665682,3.9530863303945014,4.435622689973172,5.140868138588154,3.9438067850179883,4.71400905126856,3.8231726951233203,4.584095415997379,5.038793139446512,4.751127232774612,4.87176132266928,3.9994840572770656,4.482020416855737,4.751127232774612,5.0666317755760515,4.537697689114815,3.4055931531802393,3.5076681523218816,3.0251317927432098,4.342827236208043,3.7118181506051657,4.500579507608763,4.26859087319594,3.841731785876346,3.331356790168136,3.0715295196257744,2.3106067987517154,2.394122707140332,3.0808090650022875,3.544786333827933,3.201443154896955,3.108647701131826,3.0436908834962355,2.4312408886463834,3.3035181540385974,2.7189067953182837,1.9672636198207376,3.238561336403007,3.257120427156033,3.8417317858763464,4.20363405556035,3.1828840641439293,3.127206791884852,2.9880136112371583,3.3591954262976746,3.7582158774877303,3.4798295161923427,4.519138598361789,4.120118147171734,4.816084050410202,4.639772688256457,1.503286350995092,3.9252476942649626,5.428534045260054,4.42634314459666,3.544786333827933,4.361386326961069,3.971645421147527,4.444902235349685,4.482020416855738,4.500579507608763,3.6004636060870103,3.117927246508339,2.6353908869296676,3.3684749716741873,2.4405204340228965,3.340636335544649,3.962365875771014,3.8602908766293718,2.4219613432698703,2.394122707140332,2.691068159188745,3.0715295196257744,2.783863612953874,1.6795977131488373,2.3106067987517154,3.683979514475627,2.728186340694797,2.6353908869296676,1.7445545307844277,1.9858227105737636,1.8187908937965311,2.022940892079815,1.8651886206790955,2.5240363424115126,1.4290499879829888,2.570434069294077,2.5333158877880257,1.8002318030435052,1.9672636198207378,1.7074363492783762,2.4219613432698703,2.4683590701524354,1.7352749854079148,1.716715894654889,2.273488617245664,2.746745431447822,2.895218157472029
HSE Dublin and North East,0.6823454487558569,4.953322516894368,3.2853669754911623,2.426117151131935,2.021764292609946,1.726923666604329,1.760619738147828,3.479119386866282,3.4622713510945324,2.485085276333059,2.0891564356969443,2.1565485787839425,2.746229830795177,2.897862152740923,2.2323647397568154,1.3899629511693379,1.9206760779794487,1.8195878633489513,2.661989651936429,2.6788376877081785,2.325028936501438,2.737805812909302,1.7100756308325793,0.5307131268101108,0.46332098372311264,0.9182179495603505,0.4212008942937388,0.2695685723479928,0.8087057170439784,0.9434900032179749,0.7750096455004793,0.7076175024134811,2.0049162568381966,2.0133402747240714,1.718499648718454,1.2972987544247154,1.575291344658583,1.3899629511693379,1.8617079527783253,2.3334529543873126,2.316604918615563,2.5693254551918066,2.139700543012193,2.4513892047895594,2.8557420633115487,2.923134206398547,3.041070456800794,2.813621973882175,2.3924210795884364,3.1337346535454165,2.771501884452801,0.9856100926473487,0.2021764292609946,2.0891564356969443,3.083190546230168,3.108462599887792,2.939982242170297,2.737805812909302,3.3780311722357848,2.5693254551918066,3.2853669754911623,2.400845097474311,2.3334529543873126,3.0663425104584183,2.7125337592516776,2.2492127755285654,2.1649725966698172,2.8557420633115487,2.9484062600561716,2.889438134855048,2.1818206324415668,2.5440534015341822,2.9652542958279207,3.3864551901216595,2.0807324178110695,2.3418769722731874,2.8220459917680496,2.763077866566926,2.973678313713796,2.3924210795884364,1.432083040598712,1.6679555414032055,1.7100756308325795,1.769043756033703,1.8195878633489515,1.2551786649953416,1.802739827577202,2.097580453582819,2.3924210795884364,2.3081809007296883,2.2323647397568154,2.8051979559963,3.3443351006922857,2.518781347876558,2.619869562507055,2.4176931332460603,2.7546538486810515,3.049494474686669,2.510357329990683,3.184278760860665,4.009832513676393,3.7655359949860245,3.597055637268529,2.9652542958279207,1.120394378821345,1.7943158096913272,3.217974832404164,3.2011267966324146,3.5043914405239067,4.085648674649266,4.523697604714755,3.8076560844153984,3.748687959214275,2.5777494730776813,1.7858917918054524,1.912252060093574,1.0698502715060965,2.6030215267353056,3.0663425104584183,1.4826271479139606,2.367149025930812,1.2720267007670911,1.3394188438540893,1.1962105397942182,1.010882146304973,1.5163232194574596,1.8280118812348263,1.945948131637073,1.7606197381478281,1.5668673267727082,1.2636026828812164,1.5921393804303325,1.49947518368571,1.5247472373433344,1.6932275950608298,0.9519140211038496,1.3309948259682145,1.8532839348924506,1.8617079527783253,1.6258354519738316,1.5331712552292092,1.7437717023760784,1.7690437560337027,1.8869800064359497,2.375573043816687,1.6426834877455812,1.2467546471094668,1.280450718652966,1.4573550942563362,2.06388438203932,1.9964922389523216
HSE Dublin and South East,0.6590511928311705,6.013842134584432,4.5206792758263115,3.6041862107954645,3.738055984339296,3.233469914827931,4.325023452954557,4.170558329634752,3.604186210795464,4.252939728738648,4.345618802730532,3.9234141323230625,4.613358349818195,3.7998420336672183,2.01834427804546,3.212874565051957,4.283832753402609,4.716335098698065,5.272409542649365,4.38680950228248,2.92453966818832,3.3673396883717626,1.9668559036055249,2.152214051589292,2.728883845316566,2.152214051589292,1.987451253381499,2.728883845316566,2.3375721995730583,2.265488475357149,3.1098978161720865,2.986325717516242,2.605311746660721,2.5744187219967607,2.6876931457646176,2.203702426029227,2.2860838251331232,2.450846623340916,3.5938885359074773,2.8730512937483845,2.8421582690844236,3.1304931659480606,2.9245396681883196,3.3158513139318275,3.0893024663961124,3.9131164574350756,3.738055984339296,3.460018762363646,4.057283905866894,3.511507136803581,3.8925211076591015,2.6156094215487085,0.9061953901428597,1.6373303071899397,2.6773954708766308,3.0996001412840997,2.9245396681883196,3.3055536390438403,4.294130428290596,4.129367630082804,2.811265244420462,2.9657303677402678,3.1098978161720865,3.573293186131503,2.7803722197565013,3.264362939491892,3.923414132323063,3.3879350381477367,3.6968652847873478,3.315851313931827,2.8318605941964363,2.4714419731168897,2.1213210269253304,2.172809401365266,1.6579256569659138,2.2345954506931878,2.3478698744610456,2.4302512735649415,2.780372219756501,2.1625117264772786,2.502334997780851,1.760902405845784,1.6888186816298747,1.8947721793896155,2.3272745246850715,1.9359628789415637,2.5847163968847475,2.667097795988644,2.718586170428579,3.4909117870276067,3.3261489888198144,3.0584094417321515,3.614483885683452,3.3570420134837757,3.3982327130357235,2.3581675493490324,2.172809401365266,3.3673396883717626,2.780372219756501,3.02751641706819,4.201451354298713,4.180856004522739,3.810139708555205,2.1934047511412396,1.019469813910717,3.4909117870276067,3.4703164372516326,3.6556745852353996,5.04586069511365,3.8513304081071533,4.242642053850661,2.512632672668838,3.521804811691568,2.6259070964366953,3.02751641706819,2.3066791749090974,1.9462605538295508,1.3489954103263024,1.6064372825259785,1.6579256569659138,1.6682233318539008,1.9359628789415637,1.7814977556217582,2.008046603157473,1.8329861300616934,2.3993582489009806,2.1213210269253304,2.2757861502451364,1.5858419327500044,1.8020931053977323,1.8535814798376675,1.74030705606981,2.0698326524853954,2.47144197311689,2.1625117264772786,1.9050698542776026,1.997748928269486,2.3375721995730583,2.8421582690844236,2.564121047108773,2.3684652242370197,3.243767589715918,3.573293186131503,2.4199535986769547,2.1316187018133177,2.770074544868514,2.9554326928522805,2.8627536188603973,2.728883845316566,4.45889322649839,3.665972260123387
HSE Mid West,1.162061594106411,6.9239503315506985,3.7767001808458356,4.599827143337877,3.921957880109137,5.326115639654383,6.439758000673027,7.287094579708952,7.819706143674391,7.577609978235555,7.432352278972253,7.359723429340603,8.715461955798082,8.328108091095945,8.037592692569342,6.996579181182349,8.110221542200993,8.400736940727596,8.884929271605266,7.504981128603903,7.311304196252836,8.76388118888585,7.7470772940427395,7.940754226393809,7.529190745147788,8.134431158744878,9.538588918290124,8.884929271605268,8.545994639990898,8.473365790359246,9.175444670131869,7.940754226393809,7.771286910586623,7.093417647357883,7.553400361691671,8.521785023447014,9.804894700272843,9.151235053587985,9.320702369395171,10.143829331887211,10.095410098799444,8.739671572341965,9.441750452114588,8.013383076025459,6.9239503315506985,8.231269624920412,9.659637001009541,8.836510038517499,8.231269624920412,9.51437930174624,10.095410098799444,5.761888737444288,2.7841059025466097,7.069208030814,7.698658060954973,8.667042722710315,10.19224856497498,10.821698595115953,12.129017888485663,10.095410098799444,9.369121602482938,10.19224856497498,9.635427384465657,8.909138888149151,10.168038948431096,10.26487741460663,8.763881188885849,8.49757540690313,9.732265850641191,10.071200482255563,7.892334993306041,7.626029211323322,10.434344730413816,10.579602429677117,10.216458181518863,7.553400361691671,7.335513812796719,6.827111865375164,8.788090805429732,9.102815820500219,11.233262076361973,9.417540835570705,7.7470772940427395,7.698658060954973,9.030186970868568,3.921957880109137,0.0,2.493590504020007,4.793504075688945,6.028194519427007,6.754483015743514,7.650238827867206,9.417540835570705,8.788090805429732,8.08601192565711,6.633434933024096,9.030186970868568,10.94274667783537,9.635427384465657,9.829104316816725,8.715461955798082,10.313296647694397,8.763881188885849,10.19224856497498,4.987181008040014,10.579602429677117,11.76587364032741,11.160633226730322,8.521785023447013,9.514379301746239,9.223863903219637,8.449156173815364,10.385925497326047,9.974362016080027,8.884929271605268,7.892334993306041,6.270290684865842,9.320702369395171,7.722867677498857,7.601819594779439,8.739671572341965,9.611217767921774,8.400736940727596,8.49757540690313,9.24807351976352,8.521785023447013,8.473365790359246,8.134431158744876,8.667042722710315,6.585015699936329,9.659637001009541,8.933348504693035,6.65764454956798,7.795496527130507,8.594413873078665,9.44175045211459,6.778692632287397,5.5682118050932194,9.369121602482938,9.199654286675754,9.272283136307404,7.964963842937692,8.884929271605268,9.320702369395171,10.700650512396534,6.972369564638466,4.502988677162342,3.7282809477580683,4.260892511723507,4.236682895179623,4.067215579372438
HSE South West,1.0666825093773544,7.14272211975469,4.982352480509415,5.022859411245264,5.91401188743394,5.171384823943376,3.807651489169797,5.900509577188657,5.860002646452807,5.009357100999981,7.412768324660349,6.170555782094316,6.373090435773561,7.048205948037709,5.846500336207525,6.211062712830166,6.589127399698088,6.008528059150921,5.887007266943375,6.332583505037712,6.062537300132052,5.198389444433943,3.5646099047547035,2.4574204646415003,3.888665350641495,3.780646868679231,2.7004620490565934,2.119862708509426,3.5376052842641377,3.8211537994150797,4.509771621924512,4.361246209226398,2.4979273953773493,3.834656109660363,5.846500336207525,6.926685155830162,5.954518818169789,4.563780862905643,5.319910236641489,6.616132020188654,5.535947200566016,5.468435649339602,4.860831688301869,5.333412546886772,5.981523438660354,5.887007266943375,6.251569643566015,5.063366341981113,6.062537300132052,4.928343239528283,6.602629709943371,3.254056769113195,1.9713372958113133,6.859173604603748,6.481108917735825,7.493782186132047,7.439772945150915,4.725808585849038,4.253227727264135,3.8886653506414945,3.402582181811308,4.671799344867907,3.6051168354905525,4.68530165511319,5.076868652226396,3.6456237662264015,5.306407926396206,5.400924098113188,3.281061389603761,3.780646868679231,5.076868652226396,2.3899089134150855,2.551936636358481,4.172213865792437,4.037190763339607,5.27940330590564,4.887836308792434,4.05069307358489,3.3485729408301763,3.5106006637735714,4.523273932169794,3.8616607301509287,4.266730037509418,2.1603696392452747,3.1865452178867804,3.0650244256792334,2.3494019826792365,2.551936636358481,2.7139643593018765,4.766315516584887,4.712306275603756,4.266730037509418,5.360417167377339,3.834656109660363,3.0515221154339507,2.7544712900377255,2.9705082539622527,4.820324757566019,3.1865452178867804,3.389079871566025,5.009357100999981,4.307236968245267,3.5376052842641377,4.833827067811303,1.7417980216415028,5.292905616150923,7.264242911962237,7.021201327547144,6.494611227981107,6.332583505037712,4.914840929283001,4.212720796528286,4.509771621924512,4.725808585849039,3.4970983535282887,2.09285808801886,3.834656109660363,4.739310896094322,4.104702314566022,2.3088950519433875,2.2818904314528217,2.6464528080754617,2.106360398264143,2.6734574285660275,2.362904292924519,2.2008765699811237,1.5797702986981073,2.106360398264143,1.755300331886786,2.470922774886783,3.429586802301874,2.970508253962253,3.335070630584893,2.470922774886783,3.254056769113195,3.1595405973962145,2.3088950519433875,2.943503633471687,2.700462049056594,3.5916145252452694,4.64479472437734,3.1325359769056487,3.1460382871509314,4.253227727264135,4.536776242415077,5.211891754679225,5.670970303018847,4.320739278490549,5.076868652226396,6.197560402584882,2.808480531018857
HSE West and North West,1.2769004754808781,10.531137942110334,6.002748627002891,7.937845223865665,6.489813756825494,6.081732161568718,5.699978411167218,7.7930420771616475,7.9773369911485785,6.4108302222596665,7.635075008029993,8.688188802241026,9.543843760037491,8.806664104089768,9.267401389057095,8.47756604339882,8.082648370569682,7.319140869766683,8.819828026517406,8.872483716227958,7.740386387451096,7.121682033352114,5.805289790588322,6.766256127805891,7.095354188496838,7.911517379010389,5.81845371301596,4.317766556265237,5.884273325154149,5.884273325154149,6.20020746341746,6.950551041792822,7.845697766872199,6.6872725932400625,6.331846687693839,6.766256127805891,7.924681301438027,6.239699230700373,5.410372117759184,5.4893556523250115,6.13438785127927,6.015912549430529,5.3972081953315465,5.5815031093184775,5.805289790588322,6.621452981101873,7.2533212576284924,5.015454444930047,5.1207658243511505,8.043156603286768,8.990959018076698,4.989126600074771,2.0535718987115152,7.529763628608889,6.3186827652662005,5.43669996261446,6.805747895088804,6.147551773706908,6.726764360522976,7.71405854259582,6.239699230700373,4.8443234533707535,4.146635564705944,4.225619099271772,5.56833918689084,4.8443234533707535,6.739928282950615,8.517057810681733,6.0422403942858045,3.9886684955742893,3.9096849610084616,5.318224660765719,6.516141601680769,3.6464065124557035,4.883815220653668,4.989126600074771,7.582419318319441,6.279190997983287,6.055404316713442,4.4757336253968925,5.699978411167219,6.094896083996356,5.910601170009426,5.713142333594856,5.555175264463202,5.054946212212961,4.673192461811461,4.857487375798392,4.7521759963772885,5.3972081953315465,6.634616903529511,6.990042809075734,6.739928282950615,6.0422403942858045,5.56833918689084,5.173421514061702,4.673192461811461,6.239699230700373,6.5029776792531315,6.108060006423994,5.739470178450133,5.50251957475265,5.660486643884305,5.278732893482806,2.566964873389394,7.174337723062666,8.003664836003855,8.2274515172737,8.47756604339882,9.635991217030957,9.754466518879697,7.213829490345579,7.450780094043061,8.47756604339882,6.608289058674235,6.213371385845098,4.041324185284841,5.844781557871236,4.9364709103642195,4.436241858113979,4.778503841232564,5.515683497180288,4.594208927245634,5.423536040186822,6.266027075555649,4.660028539383823,5.792125868160684,6.121223928851633,6.423994144687304,5.910601170009425,6.410830222259666,5.607830954173753,4.594208927245633,7.069026343641562,7.134845955779752,6.937387119365183,6.094896083996356,7.740386387451096,8.240615439701337,7.951009146293303,7.134845955779753,8.582877422819923,7.2533212576284924,4.080815952567755,5.291896815910444,6.884731429654631,4.778503841232564,5.56833918689084,4.804831686087841,6.476649834397856,5.620994876601391
