Date,HSE Dublin and Midlands,HSE Dublin and North East,HSE Dublin and South East,HSE Mid West,HSE South West,HSE West and North West
2023-01-01,2.2270908903630993,1.3983869690552126,2.461144298228903,1.162061594106411,1.0666825093773544,1.2769004754808781
2023-01-02,2.700347704565258,1.9291000958653235,3.470316437251633,1.7430923911596163,1.215207922075467,1.8561130622969464
2023-01-03,3.7118181506051657,2.6451416161646795,4.479488576274363,1.8399308573351507,1.660784160169805,2.1457193557049807
2023-01-04,3.210722700273468,2.139700543012193,3.212874565051957,1.0410135113869932,1.215207922075467,1.8692769847245843
2023-01-05,2.5147567970349995,1.3309948259682145,2.4714419731168897,0.8957558121236917,0.9721663376603737,1.7113099155929294
2023-01-06,2.078618164338893,1.3057227723105902,1.977153578493512,0.8231269624920411,0.9181570966792418,1.1715890960597748
2023-01-07,1.5775227140071952,0.4043528585219892,1.3181023856623413,0.2420961654388356,0.7291247532452803,0.9478024147899302
2023-01-08,1.6424795316427856,0.5222891089242361,1.441674484318186,0.3389346316143699,0.43207392784905496,0.8293271129411889
2023-01-09,1.9115863475616601,1.2130585755659677,1.9668559036055249,0.7262884963165069,0.5670970303018846,1.0531137942110336
2023-01-10,2.078618164338893,1.6342594698597066,2.1625117264772786,0.6294500301409726,0.8911524761886759,0.8293271129411889
2023-01-11,2.57971361467059,1.162514468250719,1.9668559036055249,0.6294500301409726,0.810138614716978,0.8161631905135509
2023-01-12,2.35700452563428,1.2551786649953414,1.6682233318539008,0.6536596466848562,0.877650165943393,0.7635075008029992
2023-01-13,2.2363704357396124,0.8171297349298532,1.5961396076379917,0.3147250150704863,0.7966363044716951,0.8293271129411889
2023-01-14,1.5496840778776566,0.2358725008044937,1.1533395874545487,0.21788654889495204,0.5941016507924506,0.8161631905135509
2023-01-15,1.4847272602420662,0.46332098372311264,1.1533395874545487,0.605240413597089,0.44557623809433794,0.8951467250793784
2023-01-16,1.6703181677723244,0.8929458959027262,1.750604730957797,0.6778692632287397,0.6616132020188654,1.2637365530532403
2023-01-17,2.4034022525168446,1.0782742893919712,1.9668559036055249,0.5326115639654384,0.9316594069245248,1.461195389467809
2023-01-18,2.57971361467059,1.162514468250719,2.265488475357149,0.8715461955798082,0.850645545452827,1.3690479324743434
2023-01-19,2.2270908903630993,0.9519140211038496,2.152214051589292,0.7020788797726233,0.8911524761886759,1.1979169409150505
2023-01-20,1.939424983691199,0.901369913788601,2.038939627821434,0.8231269624920411,0.7156224429999973,1.0531137942110336
2023-01-21,0.8073204477566235,0.05896812520112343,0.978279114358769,0.2420961654388356,0.432073927849055,0.6845239662371718
2023-01-22,1.067147718298985,0.2948406260056171,1.3181023856623415,0.7504981128603905,0.5400924098113187,0.9083106475070164
2023-01-23,1.4290499879829888,0.640225359326483,1.9462605538295505,0.9925942782992261,0.7156224429999973,1.2505726306256022
2023-01-24,2.032220437456328,1.0024581284190983,2.255190800469162,0.7747077294042739,1.1476963708490522,1.0004581045004817
2023-01-25,1.8002318030435052,0.9434900032179748,2.255190800469162,0.7747077294042739,1.0126732683962225,1.0136220269281198
2023-01-26,1.4197704426064757,0.5812572341253595,1.8844745045016287,0.4599827143337877,0.9451617171698078,1.0267859493557576
2023-01-27,1.6703181677723247,0.9097939316744758,1.977153578493512,0.5326115639654384,0.823640924962261,0.8688188802241026
2023-01-28,0.8351590838861622,0.22744848291861894,0.762027941711041,0.0,0.5400924098113187,0.658196121381896
2023-01-29,1.3176954434648338,0.2948406260056171,1.2254233116704578,0.38735386470213695,0.7291247532452803,0.6713600438095338
2023-01-30,1.8187908937965311,0.6654974129841073,1.6682233318539008,0.6778692632287397,0.7831339942264122,0.8556549577964647
2023-01-31,1.8373499845495571,0.7918576812722289,1.760902405845784,0.7262884963165069,0.837143235207544,0.8161631905135509
2023-02-01,1.744554530784428,0.7918576812722289,2.172809401365266,0.7989173459481574,0.9316594069245248,1.3032283203361539
2023-02-02,1.7723931669139665,0.6065292877829838,1.997748928269486,0.8957558121236917,0.9721663376603737,1.000458104500482
2023-02-03,1.725995440031402,0.7497375918428549,1.8020931053977325,0.9441750452114589,0.7561293737358462,1.0662777166386714
2023-02-04,0.7887613570035977,0.26114455446211804,0.9473860896948078,0.5568211805093218,0.44557623809433794,0.5397208195331546
2023-02-05,0.640288630979391,0.35380875120674055,1.0915535381266264,0.7262884963165069,0.445576238094338,0.5002290522502408
2023-02-06,1.1228249905580625,0.28641660811974234,1.5858419327500044,0.8715461955798082,0.6211062712830165,0.816163190513551
2023-02-07,2.032220437456328,0.8171297349298532,2.3375721995730583,1.1136423610186437,0.5535947200566017,1.2110808633426884
2023-02-08,2.162134072727509,0.7076175024134811,2.4714419731168897,1.0410135113869932,0.7696316839811292,1.1452612512044988
2023-02-09,2.672509068435719,0.7328895560711054,1.8226884551737061,1.0168038948431095,0.4860831688301869,0.8556549577964647
2023-02-10,1.957984074444225,0.6570733950982325,1.5549489080860432,1.1136423610186437,0.39156699711320603,0.6713600438095338
2023-02-11,1.0393090821694464,0.3875048227502397,1.0915535381266264,0.5568211805093218,0.445576238094338,0.39491767282913753
2023-02-12,1.6888772585253502,0.4970170552666118,1.3695907601022763,0.7262884963165069,0.5400924098113187,0.6055404316713442
2023-02-13,2.6910681591887453,0.825553752815728,2.3066791749090974,1.0410135113869932,0.8371432352075441,0.9083106475070163
2023-02-14,2.1899727088570478,0.9687620568755991,2.1316187018133177,1.1862712106502944,0.7831339942264122,0.9609663372175681
