"index","Mean","SD","Naive SE","Time-series SE","2.5%","25%","50%","75%","97.5%"
"alpha[1]",3.82231911261814,0.185636306849177,0.0006563234570374,0.00065974416606561,3.45390298764891,3.69965466276825,3.82381458301529,3.94735808734262,4.18482467831132
"alpha[2]",2.17506239978897,0.119823863845733,0.000423641333366458,0.000426876071011233,1.93816330080917,2.09537549844944,2.17520966783359,2.25569852713162,2.40879970461828
"alpha[3]",2.86848965463735,0.136778246279872,0.000483584127316504,0.000483575786622666,2.59645477121087,2.77830519527589,2.869395840951,2.96004503533952,3.13413953475394
"alpha[4]",7.96476493286081,0.297875514177299,0.00105314898012099,0.00105842152707419,7.37094600446678,7.76667483939205,7.96654553051048,8.16388310173368,8.54578093325728
"alpha[5]",4.2686626248188,0.222896180829985,0.000788057004827326,0.000792383193841428,3.82482421637806,4.12143267506812,4.2698814189475,4.41803827840271,4.70487792100751
"alpha[6]",6.18440252794809,0.261967560258153,0.000926195191547177,0.00092968200103178,5.66515481724341,6.0111059549645,6.18553660076931,6.3597120131419,6.6979751783973
"beta[1]",0.337103459165453,0.257897264656092,0.000911804523438922,0.000917745677338535,-0.176644834539726,0.166697170091623,0.338072928623186,0.509382769260897,0.840101149232905
"beta[2]",0.488901788050043,0.166163963365491,0.00058747832642286,0.000590015542548873,0.15949436212225,0.378363087145507,0.489689269190252,0.60059916719347,0.812081592470585
"beta[3]",0.459635771021853,0.190484786680589,0.000673465421873586,0.00067852813874868,0.0805722140219987,0.333005238197886,0.460911329142641,0.588185204788914,0.829649319184603
"beta[4]",-0.526495000714098,0.415055804442137,0.00146744386945936,0.00149499187363417,-1.34938944227805,-0.801114369072792,-0.522468957342201,-0.247464000988179,0.28187737326498
"beta[5]",0.66920608677649,0.308423540865558,0.00109044188611801,0.00110656652323176,0.0570327622860234,0.464686054127722,0.671049348651668,0.877542373523011,1.27071401841993
"beta[6]",-0.109812580340622,0.363181491045352,0.00128404047559805,0.00129274159971499,-0.831367627448247,-0.351087160296115,-0.106562299082216,0.133771809895273,0.597574635381393
"gamma[1]",0.736965523679945,0.254538110284992,0.000899928119264635,0.000902091683967316,0.239075531399572,0.565977695832754,0.736594478519786,0.907943656665258,1.23855226546564
"gamma[2]",0.292201393150902,0.165288245612418,0.000584382196614843,0.000584389291880482,-0.0327405764002021,0.182279906450924,0.29224617986238,0.402699317158486,0.616351800036864
"gamma[3]",0.199959351954757,0.188806934565017,0.000667533318829842,0.000665876273842515,-0.171086392460725,0.073856797375157,0.200271224628229,0.325773986460015,0.570863476524257
"gamma[4]",0.492821339534272,0.409979856111707,0.00144949768203236,0.00144724436775333,-0.312555396534969,0.219201093816112,0.493028826537811,0.766575441377961,1.30558076073521
"gamma[5]",0.279006528493597,0.307483181840699,0.00108711721490187,0.00108707476576867,-0.321821443031231,0.0726825230264111,0.27946820956235,0.485186105772504,0.884498128843448
"gamma[6]",0.29862703597702,0.362386502066463,0.00128122976510835,0.00128250743007527,-0.416393262420419,0.0563676031510555,0.297984563804037,0.542565627332408,1.0099778088108
"mu[1,1]",4.24579608570785,0.319706356641276,0.00113033266384746,0.00114788748395986,3.60882538680694,4.03438429549199,4.24747717423003,4.46192272334086,4.8654979620994
"mu[2,1]",2.69562052924504,0.206060261450977,0.000728533041025294,0.000747920834021141,2.2859738242098,2.55880391671496,2.69675756959952,2.83444674022267,3.09651815399972
"mu[3,1]",3.34887659985428,0.236071449433874,0.000834638613696147,0.000858823985372327,2.88305022478464,3.19252260428437,3.35076594844316,3.5078286252318,3.80744844658388
"mu[4,1]",7.50151172171011,0.514814770910464,0.00182014507782894,0.00186038316875111,6.48378183200927,7.15883877609176,7.50546355113718,7.84917197375347,8.50131884261373
