,Date,Region,Value
103,2023-04-14,HSE Dublin and Midlands,0.7980409023801106
104,2023-04-15,HSE Dublin and Midlands,0.42685908731959404
105,2023-04-16,HSE Dublin and Midlands,0.640288630979391
106,2023-04-17,HSE Dublin and Midlands,0.640288630979391
107,2023-04-18,HSE Dublin and Midlands,1.0485886275459593
108,2023-04-19,HSE Dublin and Midlands,1.067147718298985
109,2023-04-20,HSE Dublin and Midlands,0.965072719157343
110,2023-04-21,HSE Dublin and Midlands,0.9465136284043172
111,2023-04-22,HSE Dublin and Midlands,0.5660522679672877
112,2023-04-23,HSE Dublin and Midlands,0.49181590495518446
113,2023-04-24,HSE Dublin and Midlands,0.8351590838861622
114,2023-04-25,HSE Dublin and Midlands,0.9093954468982656
115,2023-04-26,HSE Dublin and Midlands,1.1321045359345756
116,2023-04-27,HSE Dublin and Midlands,1.1599431720641142
117,2023-04-28,HSE Dublin and Midlands,0.9279545376512914
118,2023-04-29,HSE Dublin and Midlands,0.436138632696107
119,2023-04-30,HSE Dublin and Midlands,0.35262272430749075
120,2023-05-01,HSE Dublin and Midlands,0.6124499948498523
121,2023-05-02,HSE Dublin and Midlands,1.2248999896997046
122,2023-05-03,HSE Dublin and Midlands,1.2156204443231917
123,2023-05-04,HSE Dublin and Midlands,0.8258795385096493
124,2023-05-05,HSE Dublin and Midlands,1.17850226281714
125,2023-05-06,HSE Dublin and Midlands,0.6588477217324169
126,2023-05-07,HSE Dublin and Midlands,1.0207499914164204
127,2023-05-08,HSE Dublin and Midlands,1.3733727157239113
128,2023-05-09,HSE Dublin and Midlands,1.3640931703473984
129,2023-05-10,HSE Dublin and Midlands,1.2434590804527303
130,2023-05-11,HSE Dublin and Midlands,1.1228249905580625
131,2023-05-12,HSE Dublin and Midlands,0.965072719157343
132,2023-05-13,HSE Dublin and Midlands,0.538213631837749
133,2023-05-14,HSE Dublin and Midlands,0.7980409023801106
134,2023-05-15,HSE Dublin and Midlands,0.9372340830278043
135,2023-05-16,HSE Dublin and Midlands,1.0207499914164204
136,2023-05-17,HSE Dublin and Midlands,0.6031704494733394
137,2023-05-18,HSE Dublin and Midlands,0.5474931772142619
138,2023-05-19,HSE Dublin and Midlands,0.640288630979391
139,2023-05-20,HSE Dublin and Midlands,0.3990204511900553
140,2023-05-21,HSE Dublin and Midlands,0.6774068124854427
141,2023-05-22,HSE Dublin and Midlands,0.8908363561452397
142,2023-05-23,HSE Dublin and Midlands,1.085706809052011
143,2023-05-24,HSE Dublin and Midlands,0.6217295402263652
144,2023-05-25,HSE Dublin and Midlands,0.7145249939914944
145,2023-05-26,HSE Dublin and Midlands,0.5753318133438007
146,2023-05-27,HSE Dublin and Midlands,0.3897409058135424
147,2023-05-28,HSE Dublin and Midlands,0.36190226968400363
148,2023-05-29,HSE Dublin and Midlands,0.8165999931331365
149,2023-05-30,HSE Dublin and Midlands,0.9279545376512914
150,2023-05-31,HSE Dublin and Midlands,0.7702022662505719
151,2023-06-01,HSE Dublin and Midlands,0.5938909040968265
152,2023-06-02,HSE Dublin and Midlands,0.6031704494733394
153,2023-06-03,HSE Dublin and Midlands,0.21342954365979702
154,2023-06-04,HSE Dublin and Midlands,0.2691068159188745
155,2023-06-05,HSE Dublin and Midlands,0.25982727054236154
156,2023-06-06,HSE Dublin and Midlands,0.46397726882564566
157,2023-06-07,HSE Dublin and Midlands,0.5753318133438007
158,2023-06-08,HSE Dublin and Midlands,0.6588477217324169
159,2023-06-09,HSE Dublin and Midlands,0.6031704494733394
160,2023-06-10,HSE Dublin and Midlands,0.2969454520484132
161,2023-06-11,HSE Dublin and Midlands,0.38046136043702944
162,2023-06-12,HSE Dublin and Midlands,0.7052454486149814
163,2023-06-13,HSE Dublin and Midlands,0.6310090856028782
164,2023-06-14,HSE Dublin and Midlands,1.076427263675498
165,2023-06-15,HSE Dublin and Midlands,0.8165999931331365
166,2023-06-16,HSE Dublin and Midlands,0.640288630979391
167,2023-06-17,HSE Dublin and Midlands,0.2691068159188745
168,2023-06-18,HSE Dublin and Midlands,0.3433431789309778
169,2023-06-19,HSE Dublin and Midlands,0.5660522679672877
170,2023-06-20,HSE Dublin and Midlands,0.9001159015217527
171,2023-06-21,HSE Dublin and Midlands,0.8165999931331364
172,2023-06-22,HSE Dublin and Midlands,0.7052454486149814
173,2023-06-23,HSE Dublin and Midlands,0.6310090856028782
174,2023-06-24,HSE Dublin and Midlands,0.4732568142021586
175,2023-06-25,HSE Dublin and Midlands,0.5289340864612361
176,2023-06-26,HSE Dublin and Midlands,0.6959659032384685
177,2023-06-27,HSE Dublin and Midlands,1.085706809052011
178,2023-06-28,HSE Dublin and Midlands,0.862997720015701
179,2023-06-29,HSE Dublin and Midlands,0.6774068124854427
180,2023-06-30,HSE Dublin and Midlands,0.7238045393680073
181,2023-07-01,HSE Dublin and Midlands,0.5103749957082102
182,2023-07-02,HSE Dublin and Midlands,0.6310090856028782
183,2023-07-03,HSE Dublin and Midlands,0.965072719157343
184,2023-07-04,HSE Dublin and Midlands,0.9372340830278043
185,2023-07-05,HSE Dublin and Midlands,0.8165999931331365
186,2023-07-06,HSE Dublin and Midlands,0.751643175497546
