Date,HSE Dublin and Midlands,HSE Dublin and North East,HSE Dublin and South East,HSE Mid West,HSE South West,HSE West and North West
2023-01-01,0.9001159015217526,0.6823454487558569,0.6590511928311705,1.162061594106411,1.0666825093773544,1.2769004754808781
2023-01-02,1.0207499914164204,0.9519140211038496,1.0091721390227302,1.7430923911596163,1.215207922075467,1.8561130622969464
2023-01-03,1.4568886241125274,1.2636026828812164,1.3901861098782506,1.8399308573351507,1.660784160169805,2.1457193557049807
2023-01-04,1.280577261958782,1.0361541999625974,1.1224465627905875,1.0410135113869932,1.215207922075467,1.8692769847245843
2023-01-05,1.0485886275459593,0.6318013414406082,0.7002418923831187,0.8957558121236917,0.9721663376603737,1.7113099155929294
2023-01-06,0.8351590838861622,0.6318013414406082,0.6590511928311706,0.8231269624920411,0.9181570966792418,1.1715890960597748
2023-01-07,0.6310090856028782,0.18532839348924507,0.4325023452954557,0.2420961654388356,0.7291247532452803,0.9478024147899302
2023-01-08,0.5846113587203136,0.25272053657624327,0.7002418923831188,0.3389346316143699,0.43207392784905496,0.8293271129411889
2023-01-09,0.6866863578619556,0.5896812520112342,0.8856000403668856,0.7262884963165069,0.5670970303018846,1.0531137942110336
2023-01-10,0.7238045393680073,0.8171297349298532,0.8753023654788985,0.6294500301409726,0.8911524761886759,0.8293271129411889
2023-01-11,0.9743522645338559,0.5728332162394847,0.8650046905909115,0.6294500301409726,0.810138614716978,0.8161631905135509
2023-01-12,0.9743522645338559,0.6065292877829839,0.5457767690633132,0.6536596466848562,0.877650165943393,0.7635075008029992
2023-01-13,0.9372340830278043,0.3790808048643649,0.5663721188392873,0.3147250150704863,0.7966363044716951,0.8293271129411889
2023-01-14,0.6310090856028782,0.1010882146304973,0.37071629596753347,0.21788654889495204,0.5941016507924506,0.8161631905135509
2023-01-15,0.5938909040968264,0.21902446503274414,0.4119069955194816,0.605240413597089,0.44557623809433794,0.8951467250793784
2023-01-16,0.6681272671089298,0.4296249121796135,0.5560744439513002,0.6778692632287397,0.6616132020188654,1.2637365530532403
2023-01-17,0.965072719157343,0.5307131268101108,0.6281581681672095,0.5326115639654384,0.9316594069245248,1.461195389467809
2023-01-18,1.1135454451815496,0.5222891089242361,0.6796465426071447,0.8715461955798082,0.850645545452827,1.3690479324743434
2023-01-19,0.9372340830278043,0.4043528585219892,0.6693488677191577,0.7020788797726233,0.8911524761886759,1.1979169409150505
2023-01-20,0.7887613570035976,0.3875048227502397,0.6693488677191577,0.8231269624920411,0.7156224429999973,1.0531137942110336
2023-01-21,0.3340636335544649,0.01684803577174955,0.22654884753571491,0.2420961654388356,0.432073927849055,0.6845239662371718
2023-01-22,0.4825363595786715,0.1347842861739964,0.1750604730957797,0.7504981128603905,0.5400924098113187,0.9083106475070163
2023-01-23,0.6031704494733394,0.2779925902338676,0.4736930448474039,0.9925942782992261,0.7156224429999973,1.2505726306256022
2023-01-24,0.8722772653922138,0.4043528585219892,0.6487535179431836,0.7747077294042739,1.1476963708490522,1.0004581045004817
2023-01-25,0.6959659032384685,0.4464729479513631,0.6796465426071447,0.7747077294042739,1.0126732683962225,1.0136220269281198
2023-01-26,0.5196545410847232,0.2779925902338676,0.5560744439513002,0.4599827143337877,0.9451617171698078,1.0267859493557576
2023-01-27,0.6866863578619556,0.39592884063611444,0.6899442174951318,0.5326115639654384,0.823640924962261,0.8688188802241026
2023-01-28,0.36190226968400363,0.1010882146304973,0.20595349775974084,0.0,0.5400924098113187,0.658196121381896
2023-01-29,0.4825363595786715,0.11793625040224685,0.483990719735391,0.38735386470213695,0.7291247532452803,0.6713600438095338
2023-01-30,0.7330840847445202,0.2779925902338676,0.6281581681672095,0.6778692632287397,0.7831339942264122,0.8556549577964647
2023-01-31,0.8073204477566235,0.3201126796632415,0.5354790941753262,0.7262884963165069,0.837143235207544,0.8161631905135509
2023-02-01,0.751643175497546,0.30326464389149194,0.6487535179431836,0.7989173459481574,0.9316594069245248,1.3032283203361539
2023-02-02,0.760922720874059,0.26114455446211804,0.5354790941753261,0.8957558121236917,0.9721663376603737,1.000458104500482
2023-02-03,0.7609227208740589,0.3201126796632415,0.4428000201834428,0.9441750452114589,0.7561293737358462,1.0662777166386714
2023-02-04,0.4175795419430811,0.1010882146304973,0.1029767488798704,0.5568211805093218,0.44557623809433794,0.5397208195331546
2023-02-05,0.2598272705423616,0.14320830405987117,0.33982327130357237,0.7262884963165069,0.445576238094338,0.5002290522502408
2023-02-06,0.3990204511900553,0.14320830405987117,0.514883744399352,0.8715461955798082,0.6211062712830165,0.8161631905135509
2023-02-07,0.7794818116270847,0.3622327690926153,0.9473860896948078,1.1136423610186437,0.5535947200566017,1.2110808633426884
2023-02-08,0.8351590838861622,0.3032646438914919,0.9061953901428597,1.0410135113869932,0.7696316839811292,1.1452612512044988
2023-02-09,1.1321045359345754,0.3032646438914919,0.751730266823054,1.0168038948431095,0.4860831688301869,0.8556549577964647
2023-02-10,0.872277265392214,0.26114455446211804,0.5251814192873391,1.1136423610186437,0.39156699711320603,0.6713600438095338
2023-02-11,0.4918159049551844,0.16005633983162074,0.28833489686363717,0.5568211805093218,0.445576238094338,0.39491767282913753
2023-02-12,0.7423636301210331,0.22744848291861897,0.3913116457435076,0.7262884963165069,0.5400924098113187,0.6055404316713442
2023-02-13,1.1692227174406271,0.36223276909261537,0.7517302668230541,1.0410135113869932,0.8371432352075441,0.9083106475070164
2023-02-14,0.9650727191573429,0.412776876407864,0.6281581681672095,1.1862712106502944,0.7831339942264122,0.9609663372175681
