"HSE Dublin and Midlands","HSE Dublin and North East","HSE Dublin and South East","HSE Mid West","HSE South West","HSE West and North West","time"
3.60882538680694,2.2859738242098,2.88305022478464,6.48378183200927,4.20285539127609,5.21981560729786,1
3.6911314147167,2.31029286055172,2.8956605523581,6.5603536949745,4.22232169270209,5.25744661514792,2
3.76563531462593,2.32743977626596,2.90297888249283,6.63607419033472,4.23119449997867,5.2959071409717,3
3.83219245659902,2.33687543231499,2.90196976338148,6.72090365080934,4.22842379892916,5.33259438802155,4
3.88832716836069,2.33779790522316,2.89594456591857,6.80396792185393,4.2159240474771,5.37280845968211,5
3.93389874873632,2.32919190742331,2.88260188505655,6.89191492703423,4.19242611270732,5.41168063100419,6
3.96846853641745,2.31321008197689,2.86161130413149,6.98117983924752,4.16006893377783,5.44784941906483,7
3.99389734740856,2.28881078322947,2.83248293218522,7.06713323462737,4.11985892629623,5.48084735956518,8
4.00749976433023,2.25590491933243,2.79725058924598,7.15510952991409,4.07092012724154,5.50936368125955,9
4.00886228138162,2.21750606840074,2.75709976268988,7.23693620417072,4.01431210649738,5.53746388080932,10
3.99755508294602,2.17316581011751,2.71228513563902,7.31667174462135,3.94748039207823,5.5617572347494,11
3.97452849734188,2.12310391502342,2.66249914354645,7.38932111528631,3.87470807043147,5.58415077313995,12
3.93923079647078,2.06701230364833,2.6108555636027,7.4603507744159,3.79855091986841,5.59952648889205,13
3.89519951777735,2.00631863296819,2.55434824788623,7.52048009211104,3.71662987677116,5.60924857931372,14
3.83744584867132,1.94192161631912,2.49616159300637,7.56885008204753,3.63434076281298,5.61717889416739,15
3.77441874675317,1.8764871961458,2.43621877116541,7.61412217661725,3.54895152450926,5.62320823777571,16
3.70117192565346,1.80779149995853,2.37570075283278,7.64667488117336,3.46121918031136,5.62208390344609,17
3.61954268856484,1.73993511486399,2.31574318623274,7.67182136161504,3.37535581054074,5.61390238110511,18
3.53449800801474,1.67128552288047,2.25724722410086,7.68692556564001,3.29110420558452,5.60427763677006,19
3.43959496445043,1.60461964797098,2.20097603997651,7.69115256042108,3.20858195512071,5.59027340082695,20
3.34439565240929,1.53925741796588,2.14811309338801,7.6846231342212,3.13205870469478,5.57019171220178,21
3.2454644528817,1.47963109724933,2.10098977478949,7.66616991988885,3.06386255141588,5.54860582361833,22
3.14574882308382,1.42423640277105,2.05754861798328,7.64230831690617,3.00302093676187,5.52354544115826,23
3.04922770787645,1.37327983349762,2.01942778978821,7.60419204791856,2.94808173386878,5.49087504070761,24
2.95348415066713,1.32840521580913,1.98554050566037,7.55795478824721,2.898811027112,5.4591715429663,25
2.86249563450072,1.28926353097716,1.95779919813402,7.50315802908254,2.86119835367622,5.42597853373704,26
2.77790270964036,1.25902948849336,1.93567672356875,7.44290077167332,2.83141136559144,5.38926620064036,27
2.69559070271878,1.23634965853254,1.9202550638652,7.37162252591015,2.81374895700744,5.35341221350977,28
2.62527683222449,1.21925311054946,1.91364967412434,7.29491513150602,2.80374817961578,5.31353504206926,29
